,source,target
0,110640,0
1,110640,110640
2,117467,110640
3,110640,110640
4,113677,0
5,110640,113677
6,34091,0
7,110640,34091
8,113677,110640
9,104584,110640
10,110640,110640
11,18538,0
12,110640,18538
13,112220,0
14,110640,112220
15,13254,0
16,112854,13254
17,443,0
18,443,0
19,117317,443
20,110640,443
21,112284,443
22,13254,0
23,13254,13254
24,117646,13254
25,116973,0
26,110640,13254
27,116973,116973
28,117571,116973
29,4383,0
30,110640,112284
31,33390,0
32,117594,13254
33,111930,116973
34,117594,116973
35,113727,116973
36,113727,116973
37,117393,116973
38,113727,117594
39,117399,116973
40,117399,117393
41,117393,117393
42,117393,117399
43,117399,117399
44,111453,13254
45,111726,117571
46,111726,117317
47,99247,110640
48,110640,4383
49,117101,13254
50,118262,116973
51,118262,0
52,118605,116973
53,117347,13254
54,117347,118262
55,110690,118262
56,110690,33390
57,114030,443
58,114030,443
59,114030,13254
60,114694,110690
61,116255,0
62,116255,116973
63,113467,34091
64,808,0
65,808,118262
66,808,116973
67,808,116255
68,113162,13254
69,808,13254
70,808,116255
71,113467,0
72,113166,13254
73,108283,116255
74,108283,108283
75,6396,112854
76,6396,13254
77,116396,0
78,6396,0
79,115854,116255
80,116405,0
81,20938,117594
82,110640,116396
83,110640,6396
84,111266,0
85,110640,99247
86,110640,113467
87,110640,114030
88,110640,110690
89,113890,0
90,111775,116255
91,808,113890
92,113939,0
93,113890,113939
94,113142,0
95,113142,114030
96,113142,110640
97,117460,113677
98,113569,808
99,116706,110640
100,118638,116396
101,112667,0
102,118638,118262
103,113569,116255
104,118638,13254
105,113569,443
106,118638,116255
107,118824,112667
108,118824,113939
109,117570,0
110,111726,0
111,111534,0
112,117539,0
113,118843,0
114,112667,118824
115,118804,0
116,113939,118824
117,118804,111534
118,118804,117570
119,106594,0
120,110640,117317
121,443,110640
122,118397,118804
123,112524,113939
124,112524,0
125,113939,112524
126,113939,118262
127,112524,112667
128,116932,0
129,108263,0
130,118804,0
131,110640,118824
132,118891,110640
