,source,target,type
0,110640,110640,type1
1,110640,113677,type1
2,110640,34091,type1
3,110640,18538,type1
4,110640,112220,type1
5,112854,13254,type1
6,117317,443,type1
7,110640,443,type1
8,112284,443,type1
9,13254,13254,type1
10,117646,13254,type1
11,110640,13254,type1
12,116973,116973,type1
13,117571,116973,type1
14,117594,13254,type1
15,111930,116973,type1
16,117594,116973,type1
17,113727,116973,type1
18,113727,116973,type1
19,117393,116973,type1
20,117399,116973,type1
21,111453,13254,type1
22,99247,110640,type1
23,110640,4383,type1
24,117101,13254,type1
25,118262,116973,type1
26,118605,116973,type1
27,117347,13254,type1
28,117347,118262,type1
29,110690,118262,type1
30,110690,33390,type1
31,114030,443,type1
32,114030,443,type1
33,114030,13254,type1
34,116255,116973,type1
35,113467,34091,type1
36,808,118262,type1
37,808,116973,type1
38,808,116255,type1
39,113162,13254,type1
40,808,13254,type1
41,808,116255,type1
42,113166,13254,type1
43,108283,116255,type1
44,6396,13254,type1
45,115854,116255,type1
46,110640,116396,type1
47,110640,6396,type1
48,111775,116255,type1
49,808,113890,type1
50,113890,113939,type1
51,117460,113677,type1
52,118638,116396,type1
53,118638,118262,type1
54,113569,116255,type1
55,118638,13254,type1
56,113569,443,type1
57,118638,116255,type1
58,118824,112667,type1
59,118824,113939,type1
60,118804,111534,type1
61,118804,117570,type1
62,112524,113939,type1
63,113939,112524,type1
64,113939,118262,type1
65,112524,112667,type1
66,117499,112524,type1
67,110640,108263,type1
68,110640,117539,type1
69,111627,111506,type1
70,111627,117499,type1
71,117539,117499,type1
72,111495,111506,type1
73,111495,117499,type1
74,112079,111495,type1
75,112079,116932,type1
76,112079,118804,type1
77,111495,118843,type1
78,112079,116405,type1
79,111495,116973,type1
80,112043,117684,type1
81,113854,113939,type1
82,119269,113854,type1
83,112176,117499,type1
84,112176,111506,type1
85,112176,116932,type1
86,112177,112176,type1
87,110667,108263,type1
88,117467,114694,type1
89,110667,117467,type1
90,104584,108263,type1
91,110690,115369,type1
92,110690,117617,type1
93,115445,116202,type1
94,15703,15703,type1
95,15703,114694,type1
96,112184,15703,type1
97,36521,36521,type1
98,36521,111726,type1
99,110640,113312,type1
100,117516,112524,type1
101,117516,36521,type1
102,117516,116405,type1
103,111775,111380,type1
104,111775,6396,type1
105,116202,116202,type1
106,111775,116202,type1
107,110639,117684,type1
108,116202,116202,type1
109,112184,119447,type1
110,119503,119447,type1
111,110640,108263,type1
112,111775,113312,type1
113,111775,113312,type1
114,116421,114694,type1
115,113930,114694,type1
116,111878,114694,type1
117,111545,116421,type1
118,16572,112184,type1
119,120379,118070,type1
120,110640,105165,type1
121,110636,105390,type1
122,110640,117448,type1
123,110636,113413,type1
124,110636,39388,type1
125,110636,16319,type1
126,16319,16572,type1
127,16501,16319,type1
128,120558,114694,type1
129,120554,118071,type1
130,16501,117111,type1
131,16501,36521,type1
132,110636,117779,type1
133,17500,16319,type1
134,110690,117409,type1
135,110690,113311,type1
136,115743,524,type1
137,114030,120922,type1
138,114030,113311,type1
139,115369,115369,type1
140,115369,116255,type1
141,115369,116973,type1
142,119503,115369,type1
143,118722,524,type1
144,117824,117518,type1
145,110639,118722,type1
146,110640,1210,type1
147,117824,114694,type1
148,110640,97949,type1
149,110640,108263,type1
150,110640,524,type1
151,119822,114694,type1
152,117375,117448,type1
153,117375,34527,type1
154,116090,117448,type1
155,112821,117448,type1
156,4512,117448,type1
157,4512,114694,type1
158,110636,120922,type1
159,110636,118369,type1
160,119822,116202,type1
161,111775,116202,type1
162,110640,118722,type1
163,110640,103489,type1
164,110690,119503,type1
165,15795,114694,type1
166,34179,118722,type1
167,114806,117448,type1
168,34179,18538,type1
169,34179,117448,type1
170,113166,34527,type1
171,113166,119503,type1
172,113166,119503,type1
173,113166,118369,type1
174,113166,120922,type1
175,113166,117516,type1
176,109608,118722,type1
