,source,target
0,226212,0
1,221273,0
2,214966,0
3,225798,0
4,225798,225798
5,225798,0
6,225798,0
7,225798,0
8,225798,216694
9,226212,226212
10,225798,0
11,226212,0
12,226212,0
13,225798,0
14,225798,225798
15,225798,0
16,225798,225798
17,225798,0
18,225798,225798
19,219480,0
20,219480,0
21,221245,0
22,221878,0
23,221878,0
24,221245,220735
25,218021,0
26,110640,0
27,225826,225826
28,225826,225826
29,225826,225826
30,227398,0
31,220843,0
32,220843,0
33,225805,0
34,222567,0
35,222567,0
36,218021,0
37,225805,0
38,220959,0
39,225805,0
40,220959,218009
41,225805,0
42,218021,0
43,220959,0
44,220959,0
45,220959,0
46,220979,0
47,226351,0
48,224524,110640
49,220959,0
50,225442,0
51,213518,0
52,217841,0
53,220959,0
54,220959,0
55,217841,0
56,220959,0
57,217841,0
58,226351,0
59,220979,0
60,213518,0
61,213518,0
62,222116,0
63,218002,0
64,213901,0
65,220979,222052
66,213901,217841
67,224524,0
68,217841,0
69,221236,0
70,221244,0
71,224446,0
72,217901,211737
73,225696,0
74,220135,0
75,214644,0
76,220135,220959
77,214644,0
78,221229,0
79,224524,0
80,225826,0
81,220135,0
82,225826,0
83,214644,0
84,221246,0
85,220135,0
86,215471,215191
87,225826,0
88,225826,0
89,215471,170642
90,215471,224054
91,211457,222113
92,211457,0
93,211457,0
94,224524,0
95,224524,0
96,226008,0
97,211457,0
98,211457,0
99,211457,0
100,226008,0
101,223080,0
102,223445,0
103,221283,0
104,106071,0
105,221283,0
106,106071,0
107,18,0
108,221283,0
109,222426,0
110,106071,0
111,221794,221878
112,211457,0
113,211608,0
114,227377,0
115,224572,0
116,215028,0
117,227377,0
118,218190,220959
119,227271,0
120,222567,0
121,219650,0
122,212503,0
123,211815,0
124,227271,0
125,219615,0
126,221881,0
127,218165,0
128,212367,0
129,213817,0
130,218165,0
131,213817,0
132,227143,0
133,213817,0
134,212367,0
135,213817,0
136,213817,212798
137,213817,222983
138,224315,0
139,213810,0
140,213810,0
141,213810,0
142,219468,110640
143,213810,0
144,223329,0
145,222992,0
146,213810,0
147,219468,225805
148,220491,0
149,226103,0
150,220491,0
151,215035,0
152,226103,0
153,226103,211421
154,224227,0
155,222992,0
156,220445,0
157,213999,0
158,225826,0
159,225826,0
160,213999,224063
161,213999,0
162,213999,0
163,225517,0
164,224227,0
165,213999,0
166,212503,0
167,213999,0
168,213999,0
169,219538,225805
170,213999,0
171,213999,222810
172,219618,0
173,213999,0
174,219538,0
175,221838,212503
176,213999,0
177,219402,0
178,213999,0
179,213999,0
180,211429,0
181,211815,0
182,211815,0
183,211429,0
184,213999,211815
185,213999,0
186,213999,0
187,219538,0
188,211429,0
189,218116,0
190,217901,0
191,218116,225826
192,218116,213810
193,218116,0
194,212583,0
195,104651,0
196,213328,0
197,219538,110640
198,212583,0
199,219850,0
200,218219,0
201,218219,0
202,219538,0
203,220135,225826
204,220135,213817
205,226212,0
206,225404,0
207,227328,0
208,225404,0
209,225404,0
210,225404,0
211,225404,0
212,212798,0
213,211483,212798
214,211483,225805
215,211483,223728
216,225404,0
217,211483,226212
218,212798,0
219,218219,0
220,218219,0
221,221739,218265
222,110667,222411
223,110667,0
224,110667,0
225,220959,0
226,218219,0
227,221739,219517
228,211483,211483
229,214318,218219
230,218219,0
231,211483,218165
232,218219,0
233,221964,110639
234,220959,0
