,node,comment,commentthread,reply,total,group
0,110640,22,1,13,36,group1
1,117467,1,1,3,5,group1
2,113677,0,1,1,2,group1
3,34091,0,1,0,1,group1
4,104584,1,0,1,2,group2
5,18538,0,1,0,1,group1
6,112220,0,1,0,1,group1
7,13254,1,2,0,3,group1
8,112854,1,0,0,1,group2
9,443,0,2,1,3,group1
10,117317,1,0,0,1,group2
11,112284,1,0,0,1,group2
12,117646,1,0,0,1,group2
13,116973,1,1,0,2,group1
14,117571,1,0,0,1,group2
15,4383,0,1,0,1,group1
16,33390,0,1,0,1,group1
17,117594,2,0,0,2,group2
18,111930,1,0,0,1,group2
19,113727,2,0,1,3,group2
20,117393,1,0,2,3,group2
21,117399,1,0,2,3,group2
22,111453,1,0,0,1,group2
23,111726,0,1,2,3,group1
24,99247,1,0,0,1,group2
25,117101,1,0,0,1,group2
26,118262,1,1,0,2,group1
27,118605,1,0,0,1,group2
28,117347,2,0,0,2,group2
29,110690,7,0,2,9,group2
30,114030,5,0,3,8,group2
31,114694,0,1,1,2,group1
32,116255,1,1,0,2,group1
33,113467,1,1,0,2,group1
34,808,6,1,0,7,group1
35,113162,1,0,0,1,group2
36,113166,7,1,0,8,group1
37,108283,1,0,1,2,group2
38,6396,1,1,1,3,group1
39,116396,0,1,0,1,group1
40,115854,1,1,0,2,group1
41,116405,0,1,0,1,group1
42,20938,0,0,1,1,group2
43,111266,0,1,0,1,group1
44,113890,1,1,0,2,group1
45,111775,7,0,2,9,group2
46,113939,2,1,1,4,group1
47,113142,0,1,2,3,group1
48,117460,1,0,0,1,group2
49,113569,2,0,1,3,group2
50,116706,0,0,3,3,group2
51,118638,4,0,0,4,group2
52,112667,0,1,2,3,group1
53,118824,2,0,0,2,group2
54,117570,0,1,0,1,group1
55,111534,0,1,0,1,group1
56,117539,1,2,1,4,group1
57,118843,0,1,0,1,group1
58,118804,2,2,0,4,group1
59,106594,0,1,0,1,group1
60,118397,0,0,1,1,group2
61,112524,2,1,0,3,group1
62,116932,0,1,0,1,group1
63,108263,0,4,2,6,group1
64,118891,0,0,1,1,group2
65,117499,1,2,0,3,group1
66,111506,0,1,0,1,group1
67,111627,2,0,0,2,group2
68,111495,4,1,3,8,group1
69,117684,0,1,0,1,group1
70,112079,4,0,0,4,group2
71,118823,0,0,1,1,group2
72,113854,1,1,0,2,group1
73,112043,1,0,0,1,group2
74,119269,1,0,0,1,group2
75,112176,3,1,2,6,group1
76,112177,1,1,0,2,group1
77,117617,0,1,0,1,group1
78,111380,0,1,0,1,group1
79,115369,3,1,0,4,group1
80,110667,2,0,0,2,group2
81,39388,0,1,1,2,group1
82,116202,2,1,0,3,group1
83,115445,1,0,0,1,group2
84,15703,2,1,11,14,group1
85,112184,2,1,0,3,group1
86,36521,2,1,1,4,group1
87,113312,0,2,0,2,group1
88,117516,3,1,0,4,group1
89,119447,0,1,0,1,group1
90,113413,0,1,0,1,group1
91,110639,2,0,0,2,group2
92,117111,0,1,0,1,group1
93,119503,2,2,3,7,group1
94,105390,0,1,0,1,group1
95,116421,1,1,0,2,group1
96,103500,0,1,0,1,group1
97,118071,0,1,0,1,group1
98,118070,0,1,0,1,group1
99,117409,0,2,0,2,group1
100,117448,0,1,0,1,group1
101,113930,1,0,0,1,group2
102,111878,1,0,0,1,group2
103,111545,1,0,0,1,group2
104,16572,1,1,2,4,group1
105,105165,0,1,0,1,group1
106,120379,1,0,0,1,group2
107,104503,0,0,3,3,group2
108,116256,0,0,1,1,group2
109,110636,7,0,0,7,group2
110,16319,1,1,2,4,group1
111,16501,3,0,0,3,group2
112,120558,1,0,0,1,group2
113,120554,1,0,0,1,group2
114,117779,0,1,0,1,group1
115,524,0,1,0,1,group1
116,113311,0,1,0,1,group1
117,17500,1,0,1,2,group2
118,106324,0,0,2,2,group2
119,120922,0,1,0,1,group1
120,115743,1,0,0,1,group2
121,117518,0,1,0,1,group1
122,97949,0,1,2,3,group1
123,112259,0,0,1,1,group2
124,1210,0,1,0,1,group1
125,118722,1,2,0,3,group1
126,117824,2,0,0,2,group2
127,34527,0,1,0,1,group1
128,118369,0,1,0,1,group1
129,119822,2,0,0,2,group2
130,117375,2,0,0,2,group2
131,116090,1,0,0,1,group2
132,118676,0,1,0,1,group1
133,103489,0,1,0,1,group1
134,112821,1,0,0,1,group2
135,4512,2,0,0,2,group2
136,117482,0,1,0,1,group1
137,15795,1,0,0,1,group2
138,34179,3,2,0,5,group1
139,114806,1,0,0,1,group2
140,436,0,1,0,1,group1
141,118784,0,1,0,1,group1
142,109608,1,0,0,1,group2
143,110640,0,0,0,0,group2
144,113677,0,0,0,0,group2
145,34091,0,0,0,0,group2
146,18538,0,0,0,0,group2
147,112220,0,0,0,0,group2
148,13254,0,0,0,0,group2
149,443,0,0,0,0,group2
150,116973,0,0,0,0,group2
151,112284,0,0,0,0,group2
152,117594,0,0,0,0,group2
153,117393,0,0,0,0,group2
154,117399,0,0,0,0,group2
155,117571,0,0,0,0,group2
156,117317,0,0,0,0,group2
157,4383,0,0,0,0,group2
158,118262,0,0,0,0,group2
159,33390,0,0,0,0,group2
160,110690,0,0,0,0,group2
161,116255,0,0,0,0,group2
162,108283,0,0,0,0,group2
163,112854,0,0,0,0,group2
164,116396,0,0,0,0,group2
165,6396,0,0,0,0,group2
166,99247,0,0,0,0,group2
167,113467,0,0,0,0,group2
168,114030,0,0,0,0,group2
169,113890,0,0,0,0,group2
170,113939,0,0,0,0,group2
171,808,0,0,0,0,group2
172,112667,0,0,0,0,group2
173,118824,0,0,0,0,group2
174,111534,0,0,0,0,group2
175,117570,0,0,0,0,group2
176,118804,0,0,0,0,group2
177,112524,0,0,0,0,group2
178,108263,0,0,0,0,group2
179,117539,0,0,0,0,group2
180,111506,0,0,0,0,group2
181,117499,0,0,0,0,group2
182,111627,0,0,0,0,group2
183,111495,0,0,0,0,group2
184,116932,0,0,0,0,group2
185,118843,0,0,0,0,group2
186,116405,0,0,0,0,group2
187,117684,0,0,0,0,group2
188,113854,0,0,0,0,group2
189,112176,0,0,0,0,group2
190,114694,0,0,0,0,group2
191,117467,0,0,0,0,group2
192,110667,0,0,0,0,group2
193,115369,0,0,0,0,group2
194,117617,0,0,0,0,group2
195,116202,0,0,0,0,group2
196,15703,0,0,0,0,group2
197,112079,0,0,0,0,group2
198,118638,0,0,0,0,group2
199,36521,0,0,0,0,group2
200,111726,0,0,0,0,group2
201,113312,0,0,0,0,group2
202,111380,0,0,0,0,group2
203,117516,0,0,0,0,group2
204,119447,0,0,0,0,group2
205,111775,0,0,0,0,group2
206,116421,0,0,0,0,group2
207,112184,0,0,0,0,group2
208,118070,0,0,0,0,group2
209,105165,0,0,0,0,group2
210,111930,0,0,0,0,group2
211,120379,0,0,0,0,group2
212,113727,0,0,0,0,group2
213,105390,0,0,0,0,group2
214,117448,0,0,0,0,group2
215,113413,0,0,0,0,group2
216,39388,0,0,0,0,group2
217,16319,0,0,0,0,group2
218,16572,0,0,0,0,group2
219,118071,0,0,0,0,group2
220,117111,0,0,0,0,group2
221,111878,0,0,0,0,group2
222,117779,0,0,0,0,group2
223,112177,0,0,0,0,group2
224,16501,0,0,0,0,group2
225,117409,0,0,0,0,group2
226,113311,0,0,0,0,group2
227,524,0,0,0,0,group2
228,120922,0,0,0,0,group2
229,120558,0,0,0,0,group2
230,113930,0,0,0,0,group2
231,117518,0,0,0,0,group2
232,118722,0,0,0,0,group2
233,1210,0,0,0,0,group2
234,97949,0,0,0,0,group2
235,115445,0,0,0,0,group2
236,34527,0,0,0,0,group2
237,118369,0,0,0,0,group2
238,117375,0,0,0,0,group2
239,103489,0,0,0,0,group2
240,119503,0,0,0,0,group2
241,120554,0,0,0,0,group2
242,113166,0,0,0,0,group2
