,source,target
0,1210,0
1,113162,0
2,113162,113166
3,113162,34179
4,113162,118676
5,1210,0
6,112296,0
7,120954,112296
8,104311,0
9,110639,34179
10,112551,436
11,112551,97949
12,118852,117448
13,113652,116973
14,113652,116973
15,113661,34527
16,111656,4512
17,15702,114694
18,15702,117448
19,15702,34179
20,15702,34527
21,114138,0
22,113939,113854
23,26090,117448
24,26090,113166
25,111656,103489
26,121232,0
27,18161,110640
28,18161,34179
29,111980,104311
30,18161,117375
31,113673,116973
32,18161,113661
33,18161,15702
34,121539,117518
35,18161,0
36,18161,0
37,121539,0
38,117474,114694
39,1661,0
40,117568,0
41,117459,113166
42,117459,113162
43,1065,114694
44,117608,0
45,117609,0
46,117779,117779
47,113303,0
48,117409,117409
49,121537,0
50,117409,117448
51,110667,118784
52,42005,0
53,110667,1210
54,110667,1210
55,110667,18161
56,110667,109608
57,1065,113162
58,1065,110667
59,1065,0
60,1065,113166
61,117375,117609
62,117375,117608
63,3589,0
64,110667,3589
65,121999,1065
66,117375,0
67,111454,0
68,111454,1065
69,111454,117375
70,1661,0
71,42005,117467
72,42005,111454
73,111891,116421
74,111891,120558
75,111891,117824
76,117472,0
77,111891,1661
78,111891,42005
79,110640,1661
80,111891,113303
81,110640,1661
82,111891,121539
83,110640,18161
84,111891,115854
85,117343,0
86,117662,0
87,110640,112551
88,110640,114030
89,117609,0
90,112293,0
91,111506,112176
92,117375,117375
93,118262,117779
94,113540,114694
95,75350,1661
96,110640,0
97,75350,18161
98,110640,112293
99,110640,34179
100,110640,34179
101,122000,117448
102,102948,0
103,102948,114694
104,110640,104311
105,119269,114694
106,117466,110640
107,118676,113162
108,118676,113162
109,111326,117467
110,110690,117609
111,111326,0
112,110690,117662
113,111326,42005
114,111326,121537
115,111326,113303
116,111326,0
117,115236,114694
118,110640,117343
119,35527,111326
120,35527,0
121,117518,119503
122,13254,0
123,117518,34527
124,13254,0
125,114984,117466
126,122798,115236
127,116706,110640
128,116706,0
