,Unnamed: 0,Unnamed: 0.1,source,target,type
0,0,0,110640,null,type1
1,1,1,110640,110640,type2
2,2,2,117467,110640,type3
3,3,3,110640,110640,type3
4,4,4,113677,null,type1
5,5,5,110640,113677,type2
6,6,6,34091,null,type1
7,7,7,110640,34091,type2
8,8,8,113677,110640,type3
9,9,9,104584,110640,type3
10,10,10,110640,110640,type3
11,11,11,18538,null,type1
12,12,12,110640,18538,type2
13,13,13,112220,null,type1
14,14,14,110640,112220,type2
15,15,15,13254,null,type1
16,16,16,112854,13254,type2
17,17,17,443,null,type1
18,18,18,443,null,type1
19,19,19,117317,443,type2
20,20,20,110640,443,type2
21,21,21,112284,443,type2
22,22,22,13254,null,type1
23,23,23,13254,13254,type2
24,24,24,117646,13254,type2
25,25,25,116973,null,type1
26,26,26,110640,13254,type2
27,27,27,116973,116973,type2
28,28,28,117571,116973,type2
29,29,29,4383,null,type1
30,30,30,110640,112284,type3
31,31,31,33390,null,type1
32,32,32,117594,13254,type2
33,33,33,111930,116973,type2
34,34,34,117594,116973,type2
35,35,35,113727,116973,type2
36,36,36,113727,116973,type2
37,37,37,117393,116973,type2
38,38,38,113727,117594,type3
39,39,39,117399,116973,type2
40,40,40,117399,117393,type3
41,41,41,117393,117393,type3
42,42,42,117393,117399,type3
43,43,43,117399,117399,type3
44,44,44,111453,13254,type2
45,45,45,111726,117571,type3
46,46,46,111726,117317,type3
47,47,47,99247,110640,type2
48,48,48,110640,4383,type2
49,49,49,117101,13254,type2
50,50,50,118262,116973,type2
51,51,51,118262,null,type1
52,52,52,118605,116973,type2
53,53,53,117347,13254,type2
54,54,54,117347,118262,type2
55,55,55,110690,118262,type2
56,56,56,110690,33390,type2
57,57,57,114030,443,type2
58,58,58,114030,443,type2
59,59,59,114030,13254,type2
60,60,60,114694,110690,type3
61,61,61,116255,null,type1
62,62,62,116255,116973,type2
63,63,63,113467,34091,type2
64,64,64,808,null,type1
65,65,65,808,118262,type2
66,66,66,808,116973,type2
67,67,67,808,116255,type2
68,68,68,113162,13254,type2
69,69,69,808,13254,type2
70,70,70,808,116255,type2
71,71,71,113467,null,type1
72,72,72,113166,13254,type2
73,73,73,108283,116255,type2
74,74,74,108283,108283,type3
75,75,75,6396,112854,type3
76,76,76,6396,13254,type2
77,77,77,116396,null,type1
78,78,78,6396,null,type1
79,79,79,115854,116255,type2
80,80,80,116405,null,type1
81,81,81,20938,117594,type3
82,82,82,110640,116396,type2
83,83,83,110640,6396,type2
84,84,84,111266,null,type1
85,85,85,110640,99247,type3
86,86,86,110640,113467,type3
87,87,87,110640,114030,type3
88,88,88,110640,110690,type3
89,89,89,113890,null,type1
90,90,90,111775,116255,type2
91,91,91,808,113890,type2
92,92,92,113939,null,type1
93,93,93,113890,113939,type2
94,94,94,113142,null,type1
95,95,95,113142,114030,type3
96,96,96,113142,110640,type3
97,97,97,117460,113677,type2
98,98,98,113569,808,type3
99,99,99,116706,110640,type3
100,100,100,118638,116396,type2
101,101,101,112667,null,type1
102,102,102,118638,118262,type2
103,103,103,113569,116255,type2
104,104,104,118638,13254,type2
105,105,105,113569,443,type2
106,106,106,118638,116255,type2
107,107,107,118824,112667,type2
108,108,108,118824,113939,type2
109,109,109,117570,null,type1
110,110,110,111726,null,type1
111,111,111,111534,null,type1
112,112,112,117539,null,type1
113,113,113,118843,null,type1
114,114,114,112667,118824,type3
115,115,115,118804,null,type1
116,116,116,113939,118824,type3
117,117,117,118804,111534,type2
118,118,118,118804,117570,type2
119,119,119,106594,null,type1
120,120,120,110640,117317,type3
121,121,121,443,110640,type3
122,122,122,118397,118804,type3
123,123,123,112524,113939,type2
124,124,124,112524,null,type1
125,125,125,113939,112524,type2
126,126,126,113939,118262,type2
127,127,127,112524,112667,type2
128,128,128,116932,null,type1
129,129,129,108263,null,type1
130,130,130,118804,null,type1
131,131,131,110640,118824,type3
132,132,132,118891,110640,type3
133,133,133,117499,112524,type2
134,134,134,117499,null,type1
135,135,135,117539,null,type1
136,136,136,117539,118804,type3
137,137,137,117499,null,type1
138,138,138,111506,null,type1
139,139,139,112667,118824,type3
140,140,140,110640,108263,type2
141,141,141,110640,117539,type2
142,142,142,111627,111506,type2
143,143,143,111627,117499,type2
144,144,144,111495,null,type1
145,145,145,117539,117499,type2
146,146,146,111495,111627,type3
147,147,147,111495,111506,type2
148,148,148,117684,null,type1
149,149,149,111495,117499,type2
150,150,150,112079,111495,type2
151,151,151,112079,116932,type2
152,152,152,112079,118804,type2
153,153,153,111495,118843,type2
154,154,154,112079,116405,type2
155,155,155,111495,113890,type3
156,156,156,111495,116973,type2
157,157,157,118823,113939,type3
158,158,158,113854,null,type1
159,159,159,112043,117684,type2
160,160,160,113854,113939,type2
161,161,161,114694,null,type1
162,162,162,119269,113854,type2
163,163,163,112176,117499,type2
164,164,164,112176,111506,type2
165,165,165,108263,null,type1
166,166,166,112176,null,type1
167,167,167,112176,116932,type2
168,168,168,112177,112176,type2
169,169,169,112177,null,type1
170,170,170,117617,null,type1
171,171,171,111380,null,type1
172,172,172,115369,null,type1
173,173,173,110667,108263,type2
174,174,174,117467,114694,type2
175,175,175,117467,null,type1
176,176,176,110667,117467,type2
177,177,177,117467,110667,type3
178,178,178,39388,null,type1
179,179,179,39388,110667,type3
180,180,180,116202,null,type1
181,181,181,117467,110667,type3
182,182,182,104584,108263,type2
183,183,183,110690,115369,type2
184,184,184,110690,117617,type2
185,185,185,115445,116202,type2
186,186,186,15703,null,type1
187,187,187,15703,15703,type2
188,188,188,15703,114694,type2
189,189,189,15703,110667,type3
190,190,190,15703,110690,type3
191,191,191,15703,112079,type3
192,192,192,15703,110690,type3
193,193,193,15703,112079,type3
194,194,194,15703,118804,type3
195,195,195,15703,118804,type3
196,196,196,15703,113890,type3
197,197,197,15703,808,type3
198,198,198,15703,808,type3
199,199,199,15703,118638,type3
200,200,200,110640,114030,type3
201,201,201,112184,15703,type2
202,202,202,36521,null,type1
203,203,203,36521,36521,type2
204,204,204,36521,111495,type3
205,205,205,36521,111726,type2
206,206,206,113312,null,type1
207,207,207,113312,null,type1
208,208,208,110640,113312,type2
209,209,209,117516,null,type1
210,210,210,117516,112524,type2
211,211,211,117516,36521,type2
212,212,212,117516,116405,type2
213,213,213,111775,111380,type2
214,214,214,111775,6396,type2
215,215,215,116202,116202,type2
216,216,216,111775,110667,type3
217,217,217,119447,null,type1
218,218,218,111775,117516,type3
219,219,219,111775,116202,type2
220,220,220,113413,null,type1
221,221,221,110639,117684,type2
222,222,222,117111,null,type1
223,223,223,116202,116202,type2
224,224,224,112184,null,type1
225,225,225,112184,119447,type2
226,226,226,108263,110667,type3
227,227,227,108263,null,type1
228,228,228,119503,119447,type2
229,229,229,110640,108263,type2
230,230,230,110640,111775,type3
231,231,231,105390,null,type1
232,232,232,111775,113312,type2
233,233,233,111775,113312,type2
234,234,234,116421,114694,type2
235,235,235,103500,null,type1
236,236,236,116421,null,type1
237,237,237,118071,null,type1
238,238,238,118070,null,type1
239,239,239,117409,null,type1
240,240,240,117448,null,type1
241,241,241,113930,114694,type2
242,242,242,111878,114694,type2
243,243,243,111545,116421,type2
244,244,244,16572,null,type1
245,245,245,105165,null,type1
246,246,246,108263,110640,type3
247,247,247,16572,15703,type3
248,248,248,16572,112184,type2
249,249,249,120379,118070,type2
250,250,250,16572,116202,type3
251,251,251,110640,105165,type2
252,252,252,104503,111930,type3
253,253,253,116256,120379,type3
254,254,254,104503,117594,type3
255,255,255,104503,113727,type3
256,256,256,110636,105390,type2
257,257,257,110640,117448,type2
258,258,258,110636,113413,type2
259,259,259,110640,111775,type3
260,260,260,110636,39388,type2
261,261,261,16319,null,type1
262,262,262,110636,16319,type2
263,263,263,16319,16572,type2
264,264,264,16319,120379,type3
265,265,265,16319,112184,type3
266,266,266,16501,16319,type2
267,267,267,120558,114694,type2
268,268,268,120554,118071,type2
269,269,269,16501,117111,type2
270,270,270,16501,36521,type2
271,271,271,108263,null,type1
272,272,272,117779,null,type1
273,273,273,119503,111878,type3
274,274,274,117409,null,type1
275,275,275,524,null,type1
276,276,276,110636,117779,type2
277,277,277,112176,117467,type3
278,278,278,112176,112177,type3
279,279,279,113311,null,type1
280,280,280,17500,16501,type3
281,281,281,17500,16319,type2
282,282,282,110690,16319,type3
283,283,283,110690,117409,type2
284,284,284,110690,113311,type2
285,285,285,106324,117467,type3
286,286,286,106324,110640,type3
287,287,287,111495,112079,type3
288,288,288,120922,null,type1
289,289,289,115743,524,type2
290,290,290,114030,120922,type2
291,291,291,114030,120558,type3
292,292,292,114030,120379,type3
293,293,293,117518,null,type1
294,294,294,114030,16501,type3
295,295,295,114030,113311,type2
296,296,296,115369,115369,type2
297,297,297,115369,116255,type2
298,298,298,115369,116973,type2
299,299,299,119503,115369,type2
300,300,300,97949,null,type1
301,301,301,119503,null,type1
302,302,302,97949,117317,type3
303,303,303,97949,114030,type3
304,304,304,112259,113930,type3
305,305,305,119503,null,type1
306,306,306,1210,null,type1
307,307,307,118722,524,type2
308,308,308,118722,null,type1
309,309,309,117824,117518,type2
310,310,310,110639,118722,type2
311,311,311,110640,1210,type2
312,312,312,117824,114694,type2
313,313,313,110640,97949,type2
314,314,314,110640,108263,type2
315,315,315,110640,524,type2
316,316,316,34527,null,type1
317,317,317,118369,null,type1
318,318,318,116706,115445,type3
319,319,319,119822,114694,type2
320,320,320,117375,117448,type2
321,321,321,117375,34527,type2
322,322,322,116090,117448,type2
323,323,323,118676,null,type1
324,324,324,103489,null,type1
325,325,325,112821,117448,type2
326,326,326,4512,117448,type2
327,327,327,4512,114694,type2
328,328,328,110636,120922,type2
329,329,329,110636,118369,type2
330,330,330,119822,116202,type2
331,331,331,111775,116202,type2
332,332,332,117482,null,type1
333,333,333,118722,null,type1
334,334,334,110640,118722,type2
335,335,335,110690,117375,type3
336,336,336,110640,103489,type2
337,337,337,110690,119503,type2
338,338,338,110640,119503,type3
339,339,339,15795,114694,type2
340,340,340,34179,null,type1
341,341,341,34179,null,type1
342,342,342,34179,118722,type2
343,343,343,114806,117448,type2
344,344,344,34179,18538,type2
345,345,345,34179,117448,type2
346,346,346,436,null,type1
347,347,347,115854,null,type1
348,348,348,118784,null,type1
349,349,349,116706,120554,type3
350,350,350,113166,null,type1
351,351,351,113166,34527,type2
352,352,352,113166,119503,type2
353,353,353,113166,119503,type2
354,354,354,113166,118369,type2
355,355,355,113166,120922,type2
356,356,356,113166,117516,type2
357,357,357,119503,113166,type3
358,358,358,119503,113166,type3
359,359,359,109608,118722,type2
