,source,target
0,215458,0
1,221974,0
2,217901,218326
3,217901,110640
4,218055,0
5,213045,0
6,218202,0
7,215874,0
8,211432,0
9,215337,0
10,211432,0
11,211184,0
12,222258,0
13,214826,0
14,211423,0
15,219995,0
16,220020,0
17,220463,0
18,215662,0
19,219688,0
20,213667,0
21,226989,110636
22,221865,222377
23,219764,0
24,221865,219250
25,219695,0
26,217678,0
27,211781,0
28,217678,0
29,211781,0
30,221865,0
31,220127,0
32,222258,0
33,217122,0
34,217678,0
35,217701,0
36,217901,0
37,110667,0
38,212798,0
39,217678,0
40,213105,0
41,217901,0
42,213328,0
43,212798,0
44,211781,0
45,212018,0
46,110667,0
47,212798,0
48,215508,0
49,212018,0
50,221865,0
51,110667,0
52,212798,0
53,110667,0
54,221865,0
55,110667,0
56,213975,0
57,216622,0
58,110667,0
59,220979,0
60,216092,217498
61,222042,0
62,224668,0
63,218262,0
64,218229,0
65,212798,0
66,216092,213816
67,220127,219164
68,211781,110667
69,220127,222567
70,222279,0
71,214147,0
72,218197,0
73,226222,0
74,212559,0
75,226222,0
76,211781,0
77,222279,0
78,220979,0
79,223388,0
80,215342,0
81,223385,0
82,110640,0
83,215295,0
84,223798,0
85,218165,110640
86,214662,0
87,224794,0
88,110640,0
89,222249,0
90,110640,0
91,110640,0
92,219905,0
93,110640,0
94,110640,0
95,110640,0
96,110640,222843
97,110640,0
98,110640,215874
99,110640,0
100,211781,110640
101,110640,0
102,223707,0
103,217612,0
104,211441,0
105,219905,0
106,211781,0
107,223763,0
108,217618,0
109,222567,110640
110,218401,0
111,223763,0
112,215147,0
113,223763,0
114,224712,0
115,215147,0
116,224709,0
117,211424,0
118,224712,0
119,221758,0
120,224709,0
121,224712,212018
122,212367,0
123,110640,0
124,212798,0
125,217678,0
126,224474,0
127,225404,0
128,217901,211781
129,110640,0
130,212018,0
131,212018,0
132,211522,0
133,222994,0
134,219164,0
135,216035,0
136,214630,0
137,214630,217678
138,214630,0
139,220537,0
140,222994,110667
141,222994,224524
142,224712,0
143,223051,0
144,110640,0
145,223882,0
146,223882,0
147,110640,219164
148,214665,0
149,110640,0
150,218261,0
151,110640,110640
152,216882,217122
153,222567,0
154,214486,0
155,212968,0
156,217678,0
157,220959,0
158,223444,0
159,225404,0
160,214486,0
161,217678,0
162,215955,0
163,217678,0
164,110636,0
165,220959,0
166,216015,0
167,213901,0
168,219856,0
169,220959,0
170,110636,0
171,220959,0
172,220959,0
173,217678,0
174,110636,0
175,214966,0
176,110636,0
177,213901,0
178,212527,0
