name,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week13,week14
110640,36,87,79,42,48,6,26,21,16,17,5,0,0
117467,5,8,11,10,7,14,3,9,4,0,0,0,0
113677,2,5,0,10,0,3,0,22,0,0,0,0,0
34091,1,0,0,0,0,0,0,0,0,0,0,0,0
104584,2,11,9,9,9,5,1,4,0,0,0,0,0
18538,1,0,1,0,0,0,0,0,0,3,0,0,0
112220,1,1,0,0,0,0,0,0,0,0,0,0,0
13254,3,2,0,0,0,0,0,0,0,0,0,0,0
112854,1,0,0,0,1,0,0,3,0,0,0,0,0
443,3,1,6,0,4,2,0,3,0,0,0,0,0
117317,1,0,0,0,0,0,0,0,0,0,0,0,0
112284,1,7,6,25,38,14,3,11,0,1,0,0,0
117646,1,0,2,0,1,1,6,0,2,0,0,0,0
116973,2,8,1,3,0,0,0,1,0,0,0,0,0
117571,1,0,1,0,2,0,0,0,0,0,0,0,0
4383,1,0,4,0,1,2,2,3,2,0,0,0,0
33390,1,0,0,0,0,0,0,0,0,0,0,0,0
117594,2,5,0,0,0,0,0,7,0,0,0,0,0
111930,1,1,0,3,0,0,0,0,0,0,0,0,0
113727,3,0,1,1,6,5,0,1,0,0,0,0,0
117393,3,0,0,0,1,3,2,0,2,0,0,0,0
117399,3,0,0,1,1,4,5,0,2,0,0,0,0
111453,1,0,0,0,0,0,0,0,0,0,0,0,0
111726,3,1,0,0,0,0,0,0,0,0,0,0,0
99247,1,0,0,0,0,0,0,0,0,0,0,0,0
117101,1,0,0,0,0,0,0,0,0,0,0,0,0
118262,2,1,3,0,12,20,3,0,0,3,0,0,0
118605,1,0,0,0,0,0,0,0,0,0,0,0,0
117347,2,0,0,0,0,0,0,0,0,0,0,0,0
110690,9,2,0,0,0,0,0,0,0,0,0,0,0
114030,8,0,0,6,4,0,8,0,0,0,0,0,0
114694,2,2,8,0,8,0,0,0,0,0,0,0,0
116255,2,1,0,1,0,9,0,0,0,0,0,0,0
113467,2,0,0,0,0,0,0,0,0,0,0,0,0
808,7,0,0,0,0,0,0,0,0,0,0,0,0
113162,1,6,3,0,3,1,0,15,5,0,0,0,0
113166,8,10,0,7,0,1,5,10,0,0,0,0,0
108283,2,4,2,0,1,0,6,4,0,0,0,0,0
6396,3,0,0,0,0,0,0,0,0,0,0,0,0
116396,1,1,0,0,0,0,0,0,0,0,0,0,0
115854,2,2,0,0,0,0,0,0,0,0,0,0,0
116405,1,1,0,0,0,1,0,0,0,0,0,0,0
20938,1,0,0,0,0,0,0,0,0,0,0,0,0
111266,1,0,0,0,0,0,0,0,0,0,0,0,0
113890,2,0,0,0,0,0,0,0,0,0,0,0,0
111775,9,0,5,0,13,8,16,5,0,0,0,0,0
113939,4,1,0,0,0,0,0,0,0,0,0,0,0
113142,3,0,0,0,0,0,0,0,0,0,0,0,0
117460,1,1,2,2,3,0,3,0,7,0,0,0,0
113569,3,0,0,0,0,0,0,0,0,0,0,0,0
116706,3,8,9,5,7,13,3,0,7,0,0,0,0
118638,4,0,0,0,0,0,0,0,0,0,0,0,0
112667,3,0,0,0,0,0,0,0,4,0,0,0,0
118824,2,0,0,0,0,0,0,0,0,0,0,0,0
117570,1,0,0,0,0,0,0,0,0,0,0,0,0
111534,1,0,0,0,0,0,0,0,0,0,0,0,0
117539,4,0,0,0,0,0,0,0,0,0,0,0,0
118843,1,0,0,0,1,0,1,2,0,0,0,0,0
118804,4,0,2,6,3,7,0,10,5,0,0,0,0
106594,1,0,6,0,0,0,0,0,0,0,0,0,0
118397,1,0,0,0,0,0,0,0,0,0,0,0,0
112524,3,0,0,0,0,0,0,0,0,0,0,0,0
116932,1,0,0,0,0,0,0,0,0,0,0,0,0
108263,6,3,14,10,4,9,0,16,13,0,0,0,0
118891,1,0,0,0,0,0,0,0,0,0,0,0,0
117499,3,0,0,0,0,0,0,0,0,0,0,0,0
111506,1,1,0,0,0,0,0,0,0,0,0,0,0
111627,2,0,0,0,0,0,0,0,0,0,0,0,0
111495,8,5,0,0,0,0,0,0,0,0,0,0,0
117684,1,0,0,0,0,4,0,0,0,0,0,0,0
112079,4,8,0,10,12,9,12,5,0,0,0,0,0
118823,1,1,5,1,1,0,12,4,0,0,0,0,0
113854,2,0,6,11,0,1,4,3,3,0,0,0,0
112043,1,6,4,11,2,15,9,14,0,0,0,0,0
119269,1,1,0,0,1,0,0,0,0,0,0,0,0
112176,6,0,5,11,0,10,2,6,3,0,0,0,0
112177,2,0,5,3,1,0,14,4,4,0,0,0,0
